NAME,MASS (Mearth),R (Rearth),A (AU),PER (day)
Kepler-286 d,2.507652518,1.330001609,0.0640044,5.914323
Kepler-285 b,2.571969066,1.340000019,0.0373252,2.633867
Kepler-93 b,2.589890745,1.502003418,0.0534149,4.72674
Kepler-301 b,2.637321696,1.34999843,0.0361317,2.508553
Kepler-301 c,2.637321696,1.34999843,0.0603792,5.419026
Kepler-373 b,2.703719942,1.359996841,0.0612399,5.535309
Kepler-406 c,2.725296512,0.849998306,0.0555527,4.62332
Kepler-240 b,2.771166984,1.369995252,0.0504957,4.144495
Kepler-286 c,2.771166984,1.369995252,0.0448402,3.468095
Kepler-446 d,2.830776667,1.37870463,0.0352283,5.148921
Kepler-84 d,2.839665998,1.379993663,0.0511438,4.224537
Kepler-224 b,2.909302796,1.390003282,0.0419025,3.132924
Kepler-326 c,2.979928003,1.400001693,0.0539767,4.580358
Kepler-164 b,3.051617896,1.410000104,0.0574921,5.03503
Kepler-187 b,3.051617896,1.410000104,0.0567577,4.938864
Kepler-237 b,3.051617896,1.410000104,0.0550302,4.715106
Kepler-339 b,3.124378831,1.419998515,0.0570545,4.977656
Kepler-176 b,3.198220342,1.429996926,0.0604835,5.433074
Kepler-272 b,3.198220342,1.429996926,0.0404491,2.971353
Kepler-323 b,3.198220342,1.429996926,0.0276391,1.678327
Kepler-167 b,3.349151451,1.449993747,0.0524957,4.393147
Kepler-280 b,3.349151451,1.449993747,0.0324953,2.139542
Kepler-97 b,3.398762624,1.480000189,0.036125,2.58664
Kepler-168 b,3.42622198,1.459992158,0.0527522,4.425391
Kepler-190 c,3.42622198,1.459992158,0.0473476,3.763024
Kepler-366 b,3.42622198,1.459992158,0.043221,3.281959
Kepler-292 c,3.504500211,1.470001778,0.0469467,3.715335
Kepler-98 b,3.549852641,1.989997603,0.0260305,1.54168
Kepler-218 b,3.583763674,1.480000189,0.0461345,3.619337
Kepler-446 b,3.659499372,1.53563036,0.0159282,1.565409
Kepler-160 b,3.668143984,1.540001863,0.0518266,4.309427
Kepler-337 b,3.668143984,1.540001863,0.043316,3.292781
Kepler-226 b,3.687943959,1.550000273,0.0488289,3.940997
Kepler-255 b,3.687943959,1.550000273,0.0625553,5.714606
Kepler-55 e,3.687943959,1.550000273,0.0542683,4.617534
Kepler-107 b,3.707839279,1.559998684,0.0423212,3.179997
Kepler-190 b,3.707839279,1.559998684,0.0312733,2.019999
Kepler-309 b,3.707839279,1.559998684,0.0640717,5.923653
Kepler-207 b,3.727829944,1.569997095,0.0269045,1.611865
Kepler-356 b,3.727829944,1.569997095,0.0542304,4.612696
Kepler-32 e,3.734694783,1.498663142,0.0323795,2.896
Kepler-207 c,3.745627674,1.49999701,0.0413536,3.071571
Kepler-273 b,3.745627674,1.49999701,0.0401325,2.936532
Kepler-111 b,3.747884172,1.579995506,0.043745,3.341815
Kepler-256 b,3.768033745,1.589993917,0.0270005,1.620493
Kepler-370 b,3.768033745,1.589993917,0.0539702,4.57953
Kepler-55 d,3.768033745,1.589993917,0.0332158,2.211099
Kepler-49 d,3.788278663,1.599992327,0.0367817,2.576549
Kepler-140 b,3.808618926,1.610001947,0.0429776,3.25427
Kepler-445 b,3.816945722,1.614093225,0.022904,2.984151
Kepler-194 b,3.82819643,1.509995421,0.032015,2.092281
Kepler-205 b,3.82819643,1.509995421,0.038467,2.75564
Kepler-389 b,3.82819643,1.509995421,0.0428881,3.244107
Kepler-213 b,3.829022753,1.620000358,0.0356868,2.46236
Kepler-202 b,3.849521924,1.629998769,0.0498841,4.069427
Kepler-208 b,3.849521924,1.629998769,0.0511769,4.22864
Kepler-253 b,3.849521924,1.629998769,0.0475233,3.783986
Kepler-319 b,3.849521924,1.629998769,0.0522529,4.362705
Kepler-323 c,3.849521924,1.629998769,0.0455761,3.553822
Kepler-21 b,3.860613724,1.635390289,0.0427173,2.785755
Kepler-179 b,3.870148222,1.63999718,0.0382833,2.735926
Kepler-247 b,3.870148222,1.63999718,0.0436956,3.33616
Kepler-80 e,3.870148222,1.63999718,0.0544864,4.645387
Kepler-9 d,3.870148222,1.63999718,0.0266925,1.592851
Kepler-360 b,3.890838084,1.649995591,0.0432887,3.289672
Kepler-306 b,3.911877543,1.519993832,0.0544926,4.646186
Kepler-326 b,3.911877543,1.519993832,0.0335877,2.248329
Kepler-24 d,3.932535623,1.669992412,0.0513038,4.244384
Kepler-322 c,3.932535623,1.669992412,0.0520493,4.337234
Kepler-48 b,3.939845405,1.920434669,0.0532027,4.778
Kepler-188 b,3.953575083,1.680002032,0.0317043,2.061897
Kepler-228 b,3.996671015,1.529992243,0.0366865,2.566546
Kepler-221 b,4.01723375,1.709997264,0.0388408,2.795906
Kepler-238 b,4.060266119,1.729994086,0.0320006,2.090876
Kepler-33 b,4.078572356,1.738445657,0.0677431,5.66793
Kepler-80 d,4.081941212,1.739992497,0.0413591,3.072186
Kepler-294 b,4.147761032,1.769998938,0.0468277,3.701212
Kepler-321 b,4.147761032,1.769998938,0.0565776,4.915379
Kepler-82 d,4.147761032,1.769998938,0.0349155,2.382961
Kepler-148 b,4.214693211,1.799994171,0.0281967,1.729366
Kepler-107 c,4.237289972,1.809992581,0.0564705,4.901425
Kepler-113 b,4.26001386,1.820002201,0.0502736,4.754
Kepler-354 b,4.305874797,1.839999023,0.0608066,5.47666
Kepler-291 c,4.39931288,1.879992666,0.0624544,5.700786
Kepler-349 b,4.446985372,1.900000697,0.0641159,5.929778
Kepler-83 d,4.54414191,1.93999434,0.0585134,5.169796
Kepler-267 b,4.64399989,1.979999192,0.0438489,3.353728
Kepler-142 b,4.669361655,1.989997603,0.0313162,2.024152
Kepler-181 c,4.669361655,1.989997603,0.0517683,4.302149
Kepler-134 b,4.694945892,1.999996014,0.0596222,5.317429
Kepler-280 c,4.720689038,2.009994425,0.0557436,4.807091
Kepler-183 b,4.852201552,2.059997688,0.0623606,5.687945
Kepler-155 b,4.933403696,2.08999292,0.0641261,5.931194
Kepler-317 b,4.933403696,2.08999292,0.0611582,5.524242
Kepler-161 b,5.016449176,2.119999362,0.0566234,4.921355
Kepler-256 c,5.101306212,2.149994594,0.0441473,3.38802
Kepler-296 c,5.101306212,2.149994594,0.063479,5.841648
Kepler-291 b,5.130036833,2.159993005,0.0455136,3.546511
Kepler-304 c,5.158958145,2.169991416,0.0596111,5.315946
Kepler-57 b,5.211747484,2.188049084,0.0588891,5.7293196
Kepler-32 b,5.248042141,2.200322917,0.0520435,5.90124
Kepler-217 b,5.337221482,2.229993089,0.0600513,5.374943
Kepler-235 b,5.337221482,2.229993089,0.0437311,3.340222
Kepler-226 c,5.460693236,2.269997942,0.0598621,5.349555
Kepler-156 b,5.555783966,2.299993174,0.0570224,4.973456
Kepler-121 b,5.686088777,2.339998026,0.0422983,3.177422
Kepler-122 b,5.686088777,2.339998026,0.0629312,5.766193
Kepler-171 b,5.686088777,2.339998026,0.0506781,4.166972
Kepler-213 c,5.686088777,2.339998026,0.0558662,4.822962
Kepler-246 b,5.686088777,2.339998026,0.0541452,4.60182
Kepler-172 b,5.719268831,2.349996437,0.0401669,2.940309
Kepler-125 b,5.786455263,2.369993259,0.0506571,4.164389
Kepler-81 b,5.963129517,2.421139838,0.0554099,5.955
Kepler-243 b,6.065974972,2.449991754,0.0625614,5.715442
Kepler-203 c,6.13862785,2.469999785,0.0600193,5.370647
Kepler-269 b,6.13862785,2.469999785,0.0596916,5.326718
Kepler-82 e,6.13862785,2.469999785,0.063917,5.902206
Kepler-99 b,6.149751431,1.480000189,0.0500668,4.60358
Kepler-256 d,6.175399232,2.479998196,0.0634611,5.839172
Kepler-406 b,6.349721643,1.429996926,0.0361437,2.42629
Kepler-445 c,6.506977302,2.566856587,0.0317534,4.871229
Kepler-203 b,6.519403932,2.569995102,0.0421675,3.162697
Kepler-257 b,6.680250919,2.609999954,0.0349126,2.382667
Kepler-228 c,7.060899874,2.699996861,0.050414,4.134444
Kepler-244 b,7.329836291,2.759998534,0.0518456,4.311792
Kepler-142 c,7.806370518,2.859993851,0.0553921,4.761702
Kepler-304 b,7.806370518,2.859993851,0.0433417,3.295709
Kepler-314 c,8.007389525,2.899998704,0.0643363,5.960392
Kepler-325 b,8.058589781,2.909997115,0.0536941,4.544439
Kepler-221 c,8.162134433,2.929993936,0.0623799,5.690586
Kepler-210 b,8.214478829,2.939992347,0.0355986,2.453234
Kepler-219 b,8.267236386,2.949990758,0.0540172,4.585512
Kepler-232 b,8.989856016,3.079992516,0.0527986,4.431222
Kepler-89 b,9.132396766,1.746359198,0.0511881,3.743208
Kepler-224 c,9.226438701,3.119997368,0.0640814,5.925003
Kepler-222 b,9.469886226,3.159991012,0.0487958,3.936981
Kepler-188 c,9.657207337,3.189997453,0.0645963,5.996553
Kepler-207 d,10.44726765,3.309989592,0.0636703,5.868075
Kepler-94 b,10.83954869,3.509677584,0.033677,2.50806
Kepler-116 b,11.23179796,3.419994529,0.0643964,5.968734
Kepler-28 b,12.62116505,3.596782573,0.0581375,5.91213
Kepler-119 b,12.64798878,3.59999955,0.0352966,2.422082
Kepler-148 c,12.64798878,3.59999955,0.050784,4.180043
Kepler-234 b,13.50990743,3.699994867,0.0380552,2.711506
Kepler-254 b,15.10626848,3.869990269,0.0633704,5.826662
